sujeto,movimiento,variante_limpieza,estrategia_balanceo,modelo,accuracy,balanced_accuracy,kappa,macro_f1,weighted_f1,recall_left,recall_pull,recall_push,recall_right,precision_left,precision_pull,precision_push,precision_right,auc,min_clase,problema_muestra,exito,observacion,cv,folds
211260561,all,noOutliers,sin_balanceo,SMO_SVM,72.37,61.92,0.5813,0.6289,0.7152,0.8448,0.3621,0.7917,0.4783,0.7967,0.4773,0.7308,0.5789,0.8703,58,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,noOutliers,sin_balanceo,RandomForest,66.2,47.88,0.4603,0.4679,0.6116,0.8879,0.1552,0.7708,0.1014,0.7228,0.4091,0.6099,0.5,0.7904,58,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,noOutliers,sin_balanceo,MLP,74.95,63.84,0.6192,0.6505,0.7398,0.8793,0.3621,0.8194,0.4928,0.8193,0.4667,0.7516,0.6538,0.9044,58,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,noOutliers,sin_balanceo,IBk_kNN,68.59,58.9,0.5249,0.5988,0.6784,0.8017,0.3621,0.7431,0.4493,0.7686,0.5385,0.6687,0.5,0.7362,58,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,noOutliers,sin_balanceo,RBFNetwork_aprox,70.58,54.13,0.5345,0.55,0.6719,0.9181,0.1207,0.7639,0.3623,0.75,0.35,0.6707,0.7143,0.8657,58,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,noOutliers,random_oversampling,SMO_SVM,71.97,61.58,0.5766,0.6229,0.711,0.8233,0.3276,0.8194,0.4928,0.7925,0.4419,0.7375,0.5763,0.8606,58,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,noOutliers,random_oversampling,RandomForest,67.2,49.07,0.4831,0.4784,0.6267,0.8707,0.1207,0.8264,0.1449,0.7509,0.3889,0.633,0.3571,0.8112,58,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,noOutliers,random_oversampling,MLP,77.34,68.08,0.6597,0.688,0.7679,0.8707,0.3966,0.8472,0.6087,0.8596,0.4894,0.7625,0.6885,0.9123,58,False,no,Recall crítico bajo en: pull,bloques,4.0
211260561,all,noOutliers,random_oversampling,IBk_kNN,67.2,57.25,0.5044,0.5806,0.6643,0.7888,0.3448,0.7361,0.4203,0.7625,0.5,0.6543,0.4754,0.7256,58,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,noOutliers,random_oversampling,RBFNetwork_aprox,71.37,58.03,0.555,0.5958,0.6932,0.875,0.2414,0.7847,0.4203,0.7546,0.5185,0.7063,0.617,0.8685,58,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
