sujeto,movimiento,variante_limpieza,estrategia_balanceo,modelo,clase,recall,precision,soporte,minoritaria
211260561,all,noOutliers,sin_balanceo,SMO_SVM,left,0.8448,0.7967,232,False
211260561,all,noOutliers,sin_balanceo,SMO_SVM,pull,0.3621,0.4773,58,True
211260561,all,noOutliers,sin_balanceo,SMO_SVM,push,0.7917,0.7308,144,False
211260561,all,noOutliers,sin_balanceo,SMO_SVM,right,0.4783,0.5789,69,False
211260561,all,noOutliers,sin_balanceo,RandomForest,left,0.8879,0.7228,232,False
211260561,all,noOutliers,sin_balanceo,RandomForest,pull,0.1552,0.4091,58,True
211260561,all,noOutliers,sin_balanceo,RandomForest,push,0.7708,0.6099,144,False
211260561,all,noOutliers,sin_balanceo,RandomForest,right,0.1014,0.5,69,False
211260561,all,noOutliers,sin_balanceo,MLP,left,0.8793,0.8193,232,False
211260561,all,noOutliers,sin_balanceo,MLP,pull,0.3621,0.4667,58,True
211260561,all,noOutliers,sin_balanceo,MLP,push,0.8194,0.7516,144,False
211260561,all,noOutliers,sin_balanceo,MLP,right,0.4928,0.6538,69,False
211260561,all,noOutliers,sin_balanceo,IBk_kNN,left,0.8017,0.7686,232,False
211260561,all,noOutliers,sin_balanceo,IBk_kNN,pull,0.3621,0.5385,58,True
211260561,all,noOutliers,sin_balanceo,IBk_kNN,push,0.7431,0.6687,144,False
211260561,all,noOutliers,sin_balanceo,IBk_kNN,right,0.4493,0.5,69,False
211260561,all,noOutliers,sin_balanceo,RBFNetwork_aprox,left,0.9181,0.75,232,False
211260561,all,noOutliers,sin_balanceo,RBFNetwork_aprox,pull,0.1207,0.35,58,True
211260561,all,noOutliers,sin_balanceo,RBFNetwork_aprox,push,0.7639,0.6707,144,False
211260561,all,noOutliers,sin_balanceo,RBFNetwork_aprox,right,0.3623,0.7143,69,False
211260561,all,noOutliers,random_oversampling,SMO_SVM,left,0.8233,0.7925,232,False
211260561,all,noOutliers,random_oversampling,SMO_SVM,pull,0.3276,0.4419,58,True
211260561,all,noOutliers,random_oversampling,SMO_SVM,push,0.8194,0.7375,144,False
211260561,all,noOutliers,random_oversampling,SMO_SVM,right,0.4928,0.5763,69,False
211260561,all,noOutliers,random_oversampling,RandomForest,left,0.8707,0.7509,232,False
211260561,all,noOutliers,random_oversampling,RandomForest,pull,0.1207,0.3889,58,True
211260561,all,noOutliers,random_oversampling,RandomForest,push,0.8264,0.633,144,False
211260561,all,noOutliers,random_oversampling,RandomForest,right,0.1449,0.3571,69,False
211260561,all,noOutliers,random_oversampling,MLP,left,0.8707,0.8596,232,False
211260561,all,noOutliers,random_oversampling,MLP,pull,0.3966,0.4894,58,True
211260561,all,noOutliers,random_oversampling,MLP,push,0.8472,0.7625,144,False
211260561,all,noOutliers,random_oversampling,MLP,right,0.6087,0.6885,69,False
211260561,all,noOutliers,random_oversampling,IBk_kNN,left,0.7888,0.7625,232,False
211260561,all,noOutliers,random_oversampling,IBk_kNN,pull,0.3448,0.5,58,True
211260561,all,noOutliers,random_oversampling,IBk_kNN,push,0.7361,0.6543,144,False
211260561,all,noOutliers,random_oversampling,IBk_kNN,right,0.4203,0.4754,69,False
211260561,all,noOutliers,random_oversampling,RBFNetwork_aprox,left,0.875,0.7546,232,False
211260561,all,noOutliers,random_oversampling,RBFNetwork_aprox,pull,0.2414,0.5185,58,True
211260561,all,noOutliers,random_oversampling,RBFNetwork_aprox,push,0.7847,0.7063,144,False
211260561,all,noOutliers,random_oversampling,RBFNetwork_aprox,right,0.4203,0.617,69,False
211260561,all,noOutliers,class_weight_balanced,SMO_SVM,left,0.8405,0.7959,232,False
211260561,all,noOutliers,class_weight_balanced,SMO_SVM,pull,0.3621,0.4773,58,True
