sujeto,movimiento,variante_limpieza,mejor_estrategia_balanceo,mejor_modelo,mejora_accuracy_vs_base,mejora_kappa_vs_base,mejora_macro_f1_vs_base,mejoro_recall_clases_minoritarias,recall_minoritarias_base,recall_minoritarias_mejor,mejora_confiable,observacion
211260561,all,noOutliers,smote,MLP,2.78,0.047,0.0509,True,0.3621,0.4655,False,Resultado exploratorio; requiere revision por matriz de confusion y bloques temporales.
211260561,all,sinArtefactosConservador,smote,MLP,1.49,0.0242,0.0308,True,0.3191,0.4255,False,Resultado exploratorio; requiere revision por matriz de confusion y bloques temporales.
211260561,all,sinArtefactosEstricto,sin_balanceo,MLP,0.0,0.0,0.0,False,0.5938,0.5938,False,No mejora recall de clases minoritarias; revisar matriz de confusion.
212260563,all,noOutliers,random_oversampling,SMO_SVM,0.75,0.0117,0.1275,True,0.0,0.3333,False,Mejora no confiable: problema de muestra en clase minoritaria.
212260567,all,noOutliers,random_oversampling,IBk_kNN,0.0,0.0001,0.0709,True,0.3333,0.6667,False,Mejora no confiable: problema de muestra en clase minoritaria.
212260569,all,noOutliers,random_oversampling,SMO_SVM,1.0,0.0186,0.0286,True,0.2632,0.3158,False,Resultado exploratorio; requiere revision por matriz de confusion y bloques temporales.
212260569,all,sinArtefactosConservador,sin_balanceo,SMO_SVM,0.0,0.0,0.0,False,0.4615,0.4615,False,No mejora recall de clases minoritarias; revisar matriz de confusion.
212260666,all,noOutliers,smote,SMO_SVM,2.51,0.0497,0.0192,True,0.4375,0.5,False,Resultado exploratorio; requiere revision por matriz de confusion y bloques temporales.
212260666,all,sinArtefactosConservador,random_oversampling,RandomForest,0.0,-0.0038,0.003,False,0.5,0.5,False,No mejora recall de clases minoritarias; revisar matriz de confusion.
212260668,all,noOutliers,smote,MLP,1.0,0.0145,0.0091,False,0.9583,0.875,False,No mejora recall de clases minoritarias; revisar matriz de confusion.
212260672,all,noOutliers,random_oversampling,IBk_kNN,2.13,0.0397,0.0392,False,0.75,0.75,False,Mejora no confiable: problema de muestra en clase minoritaria.
222260671,all,noOutliers,random_undersampling_controlado,RandomForest,2.92,0.1321,0.0566,True,0.3055,0.3889,False,Resultado exploratorio; requiere revision por matriz de confusion y bloques temporales.
22260552,all,noOutliers,class_weight_balanced,SMO_SVM,0.31,0.0062,0.0088,True,0.5513,0.5897,True,Mejora confiable bajo los criterios definidos.
22260552,all,sinArtefactosConservador,class_weight_balanced,RBFNetwork_aprox,0.0,0.0023,0.0034,True,0.2973,0.3243,False,Resultado exploratorio; requiere revision por matriz de confusion y bloques temporales.
231260558,all,noOutliers,sin_balanceo,MLP,0.0,0.0,0.0,False,0.875,0.875,False,No mejora recall de clases minoritarias; revisar matriz de confusion.
252260554,all,noOutliers,smote,SMO_SVM,0.37,0.0032,0.0022,False,0.6,0.575,False,No mejora recall de clases minoritarias; revisar matriz de confusion.
252260554,all,sinArtefactosConservador,sin_balanceo,SMO_SVM,0.0,0.0,0.0,False,0.1176,0.1176,False,No mejora recall de clases minoritarias; revisar matriz de confusion.
252260556,all,noOutliers,class_weight_balanced,RBFNetwork_aprox,0.12,-0.0026,0.0087,True,0.4397,0.4828,False,Resultado exploratorio; requiere revision por matriz de confusion y bloques temporales.
252260556,all,sinArtefactosConservador,class_weight_balanced,RBFNetwork_aprox,2.37,0.0294,0.0166,False,0.3878,0.3673,False,No mejora recall de clases minoritarias; revisar matriz de confusion.
252260556,all,sinArtefactosEstricto,smote,RBFNetwork_aprox,0.0,0.0015,0.0188,True,0.1111,0.1746,False,Resultado exploratorio; requiere revision por matriz de confusion y bloques temporales.
252260670,all,noOutliers,sin_balanceo,IBk_kNN,0.0,0.0,0.0,False,0.0,0.0,False,Mejora no confiable: problema de muestra en clase minoritaria.
cano,all,noOutliers,class_weight_balanced,RBFNetwork_aprox,-14.92,0.1828,0.1177,True,0.0,0.0286,False,Resultado exploratorio; requiere revision por matriz de confusion y bloques temporales.
cano,all,sinArtefactosConservador,random_undersampling_controlado,RandomForest,7.2,0.2324,0.147,True,0.0606,0.4242,False,Resultado exploratorio; requiere revision por matriz de confusion y bloques temporales.
villanueva,all,noOutliers,class_weight_balanced,RBFNetwork_aprox,3.95,0.0182,0.005,False,0.375,0.25,False,No mejora recall de clases minoritarias; revisar matriz de confusion.
