sujeto,original,no_outliers,outliers_removidos,artefactos_detectados_no_removidos,retencion_%,retencion_promedio,nivel_limpieza,alertas_limpieza,eventos_artefactos,z_max_abs,salto_max_abs,canales_afectados_max,bandas_afectadas_max,artefacto_dominante,share_artefacto_dominante,alerta_artefactos,figuras_generadas,figuras_ok,alertas_figuras,dataset_modelo,mejor_modelo,accuracy,kappa,exito,nivel_modelo,min_clase_no_outliers,clases_detectadas,problema_muestra,clasificacion_final,comentario_tecnico
211260561,710,503,207,325,70.8,70.8,aceptable,,7867,779.5902,2550.5204,14,5,salto_brusco_estadistico,0.479,salto_max_abs > 1000 | z_max_abs > 500 | eventos altos en múltiples canales y bandas,32,True,,211260561_all_noOutliers,MLP,77.34,0.6597,SI,aprobado moderado,58,left:232 | pull:58 | push:144 | right:69,False,Posible ruido residual dominante,limpieza=aceptable; modelo=aprobado moderado; artefactos: salto_max_abs > 1000 | z_max_abs > 500 | eventos altos en múltiples canales y bandas
212260563,164,132,32,112,80.5,80.5,muy buena,,4234,1373.3191,1906.4642,14,5,posible_muscular_beta_gamma,0.264,salto_max_abs > 1000 | z_max_abs > 500 | eventos altos en múltiples canales y bandas,32,True,,212260563_all_noOutliers,SMO_SVM,95.45,0.9308,SI,aprobado fuerte,3,left:57 | pull:29 | push:3 | right:43,True,Problema de muestra,"limpieza=muy buena; modelo=aprobado fuerte; artefactos: salto_max_abs > 1000 | z_max_abs > 500 | eventos altos en múltiples canales y bandas; muestra baja: left:57 | pull:29 | push:3 | right:43; Caso especial: buen desempeño reportado en left, pull y right; push tiene poca representación. Topomaps alpha, betaH y gamma sugieren patrón frontal-central-temporal derecho. Posible componente muscular/no fisiológico residual, no confirmado."
212260567,160,123,37,117,76.9,76.9,aceptable,,3517,1936.9706,3245.8846,14,5,salto_brusco_estadistico,0.342,salto_max_abs > 1000 | z_max_abs > 500 | eventos altos en múltiples canales y bandas,32,True,,212260567_all_noOutliers,IBk_kNN,95.93,0.934,SI,aprobado fuerte,3,left:41 | pull:60 | push:19 | right:3,True,Problema de muestra,limpieza=aceptable; modelo=aprobado fuerte; artefactos: salto_max_abs > 1000 | z_max_abs > 500 | eventos altos en múltiples canales y bandas; muestra baja: left:41 | pull:60 | push:19 | right:3
212260569,263,199,64,150,75.7,75.7,aceptable,,5446,123.9313,360.6195,14,5,salto_brusco_estadistico,0.362,eventos altos en múltiples canales y bandas,32,True,,212260569_all_sinArtefactosConservador,J48_C45,91.54,0.8493,SI,aprobado fuerte,19,left:73 | pull:19 | push:107,True,Problema de muestra,limpieza=aceptable; modelo=aprobado fuerte; artefactos: eventos altos en múltiples canales y bandas; muestra baja: left:73 | pull:19 | push:107
212260666,263,199,63,188,75.7,75.7,aceptable,,5454,3152.3859,11116.067,14,5,salto_brusco_estadistico,0.322,salto_max_abs > 1000 | z_max_abs > 500 | eventos altos en múltiples canales y bandas,32,True,,212260666_all_sinArtefactosConservador,J48_C45,79.67,0.6902,SI,aprobado moderado,16,left:16 | pull:118 | push:29 | right:36,True,Problema de muestra,limpieza=aceptable; modelo=aprobado moderado; artefactos: salto_max_abs > 1000 | z_max_abs > 500 | eventos altos en múltiples canales y bandas; muestra baja: left:16 | pull:118 | push:29 | right:36
212260668,227,199,28,107,87.7,87.7,muy buena,,5154,74.1585,201.9093,14,5,salto_brusco_estadistico,0.313,eventos altos en múltiples canales y bandas,32,True,,212260668_all_noOutliers,MLP,93.47,0.8998,SI,aprobado fuerte,48,pull:73 | push:78 | right:48,False,Aprobado moderado,limpieza=muy buena; modelo=aprobado fuerte; artefactos: eventos altos en múltiples canales y bandas
212260672,131,94,37,82,71.8,71.8,aceptable,,1618,1754.7204,7289.2616,14,5,salto_brusco_estadistico,0.48,salto_max_abs > 1000 | z_max_abs > 500 | eventos altos en múltiples canales y bandas,32,True,,212260672_all_noOutliers,IBk_kNN,88.3,0.8071,SI,aprobado fuerte,8,left:8 | pull:51 | push:11 | right:24,True,Problema de muestra,limpieza=aceptable; modelo=aprobado fuerte; artefactos: salto_max_abs > 1000 | z_max_abs > 500 | eventos altos en múltiples canales y bandas; muestra baja: left:8 | pull:51 | push:11 | right:24
222260671,248,171,77,170,69.0,69.0,aceptable,,3570,464.9015,1414.6222,14,5,salto_brusco_estadistico,0.379,salto_max_abs > 1000 | eventos altos en múltiples canales y bandas,32,True,,222260671_all_noOutliers,RandomForest,72.51,0.4028,no,revisar,18,left:18 | pull:29 | push:18 | right:106,True,Problema de muestra,limpieza=aceptable; modelo=revisar; artefactos: salto_max_abs > 1000 | eventos altos en múltiples canales y bandas; muestra baja: left:18 | pull:29 | push:18 | right:106
22260552,1381,1292,89,941,93.6,93.6,muy buena,,21520,7463.5247,26239.725,14,5,salto_brusco_estadistico,0.31,salto_max_abs > 1000 | z_max_abs > 500 | eventos altos en múltiples canales y bandas,32,True,,22260552_all_noOutliers,MLP,88.62,0.8309,SI,aprobado fuerte,78,left:239 | pull:556 | push:78 | right:419,False,Aprobado moderado,limpieza=muy buena; modelo=aprobado fuerte; artefactos: salto_max_abs > 1000 | z_max_abs > 500 | eventos altos en múltiples canales y bandas
231260558,1237,902,333,523,72.9,72.9,aceptable,,13375,84.2942,294.6186,14,5,salto_brusco_estadistico,0.449,eventos altos en múltiples canales y bandas,32,True,,231260558_all_noOutliers,MLP,80.49,0.6982,SI,aprobado moderado,64,left:193 | pull:457 | push:64 | right:188,False,Posible ruido residual dominante,limpieza=aceptable; modelo=aprobado moderado; artefactos: eventos altos en múltiples canales y bandas
252260554,771,538,232,454,69.8,69.8,aceptable,,9603,799.6071,1876.2091,14,5,salto_brusco_estadistico,0.456,salto_max_abs > 1000 | z_max_abs > 500 | eventos altos en múltiples canales y bandas,32,True,,252260554_all_noOutliers,RBFNetwork_aprox,74.35,0.5723,no,revisar,40,left:240 | pull:40 | push:211 | right:47,False,Posible ruido residual dominante,limpieza=aceptable; modelo=revisar; artefactos: salto_max_abs > 1000 | z_max_abs > 500 | eventos altos en múltiples canales y bandas
252260556,914,839,75,356,91.8,91.8,muy buena,,10935,333.5324,1065.3534,14,5,salto_brusco_estadistico,0.46,salto_max_abs > 1000 | eventos altos en múltiples canales y bandas,32,True,,252260556_all_sinArtefactosConservador,RBFNetwork_aprox,69.93,0.5711,no,revisar,116,left:286 | pull:282 | push:155 | right:116,False,Posible ruido residual dominante,limpieza=muy buena; modelo=revisar; artefactos: salto_max_abs > 1000 | eventos altos en múltiples canales y bandas
252260670,190,131,59,128,68.9,68.9,aceptable,,3122,957.8479,3242.8487,14,5,salto_brusco_estadistico,0.388,salto_max_abs > 1000 | z_max_abs > 500 | eventos altos en múltiples canales y bandas,32,True,,252260670_all_noOutliers,IBk_kNN,94.66,0.904,SI,aprobado fuerte,4,left:7 | pull:4 | push:54 | right:66,True,Problema de muestra,limpieza=aceptable; modelo=aprobado fuerte; artefactos: salto_max_abs > 1000 | z_max_abs > 500 | eventos altos en múltiples canales y bandas; muestra baja: left:7 | pull:4 | push:54 | right:66
cano,941,885,56,462,94.0,94.0,muy buena,,15398,3662.2485,6710.821,14,5,posible_no_fisiologico_salto_o_pico,0.352,salto_max_abs > 1000 | z_max_abs > 500 | eventos altos en múltiples canales y bandas | dominancia de posible_no_fisiologico_salto_o_pico,32,True,,cano_all_sinArtefactosConservador,NaiveBayes,34.88,0.0318,no,no confiable,35,left:106 | pull:35 | push:235 | right:509,False,No confiable,limpieza=muy buena; modelo=no confiable; artefactos: salto_max_abs > 1000 | z_max_abs > 500 | eventos altos en múltiples canales y bandas | dominancia de posible_no_fisiologico_salto_o_pico
villanueva,689,632,57,242,91.7,91.7,muy buena,,11466,50.1817,140.9553,14,5,salto_brusco_estadistico,0.374,eventos altos en múltiples canales y bandas,32,True,,villanueva_all_noOutliers,RBFNetwork_aprox,38.92,-0.1711,no,no confiable,16,left:16 | pull:367 | push:211 | right:38,True,No confiable,"limpieza=muy buena; modelo=no confiable; artefactos: eventos altos en múltiples canales y bandas; muestra baja: left:16 | pull:367 | push:211 | right:38; Caso especial: baja separabilidad, confusión fuerte entre pull y push, scroll con picos repetidos y topomaps alpha/betaH/gamma con patrón común frontal-central derecho."
