sujeto,movimiento,tipo_artefacto_sospechado,eventos,canales_afectados,bandas_afectadas,z_max_abs,salto_max_abs
211260561,all,salto_brusco_estadistico,1877,14,5,4.4964,922.9187
211260561,all,posible_muscular_beta_gamma,1154,6,3,690.76,2204.9462
211260561,all,posible_no_fisiologico_salto_o_pico,366,10,5,779.5902,2550.5204
211260561,all,posible_ocular_frontal_banda_baja,356,6,2,411.4617,1512.6382
211260561,all,outlier_estadistico_extremo,205,11,5,68.1141,4.471
211260561,left,salto_brusco_estadistico,768,14,5,4.454,877.599
211260561,left,posible_muscular_beta_gamma,665,6,3,347.5119,1169.3864
211260561,left,posible_no_fisiologico_salto_o_pico,206,8,3,338.8628,1063.2127
211260561,left,posible_ocular_frontal_banda_baja,192,5,2,401.9897,1411.1717
211260561,left,outlier_estadistico_extremo,85,10,4,58.9529,4.3669
211260561,pull,salto_brusco_estadistico,363,14,5,4.4725,74.5182
211260561,pull,posible_muscular_beta_gamma,166,6,3,15.3451,58.2253
211260561,pull,outlier_estadistico_extremo,54,9,5,14.089,4.4405
211260561,pull,posible_no_fisiologico_salto_o_pico,30,6,4,36.5132,27.7201
211260561,pull,posible_ocular_frontal_banda_baja,22,4,2,18.1159,16.1125
211260561,push,salto_brusco_estadistico,526,14,5,4.3632,49.8079
211260561,push,posible_muscular_beta_gamma,231,6,3,25.2705,65.9012
211260561,push,posible_ocular_frontal_banda_baja,88,6,2,43.6774,111.7104
211260561,push,outlier_estadistico_extremo,80,10,5,44.1572,4.4941
211260561,push,posible_no_fisiologico_salto_o_pico,39,8,3,44.9382,95.2019
211260561,right,salto_brusco_estadistico,238,14,5,4.4733,42.4935
211260561,right,posible_muscular_beta_gamma,130,6,3,6.4504,19.4453
211260561,right,outlier_estadistico_extremo,17,6,5,9.4805,4.2362
211260561,right,posible_no_fisiologico_salto_o_pico,6,5,4,8.6273,38.6558
211260561,right,posible_ocular_frontal_banda_baja,3,2,1,6.6035,13.8743
212260563,all,posible_no_fisiologico_salto_o_pico,676,12,5,258.8543,459.3722
212260563,all,posible_muscular_beta_gamma,661,6,3,231.0894,377.4667
212260563,all,salto_brusco_estadistico,629,14,5,4.4851,422.0579
212260563,all,posible_ocular_frontal_banda_baja,351,6,2,765.925,901.5339
212260563,all,outlier_estadistico_extremo,239,12,5,257.6633,4.4444
212260563,left,posible_no_fisiologico_salto_o_pico,363,12,5,459.882,679.413
212260563,left,posible_muscular_beta_gamma,294,6,3,450.1754,517.7713
212260563,left,salto_brusco_estadistico,224,14,5,4.3369,846.0856
212260563,left,posible_ocular_frontal_banda_baja,141,6,2,568.0542,864.7488
212260563,left,outlier_estadistico_extremo,65,11,5,273.6532,4.4517
212260563,pull,salto_brusco_estadistico,88,14,5,4.4636,36.2567
212260563,pull,posible_muscular_beta_gamma,52,6,3,8.5192,29.9807
212260563,pull,outlier_estadistico_extremo,28,8,5,8.2612,4.4256
212260563,pull,posible_ocular_frontal_banda_baja,13,2,2,17.421,10.4173
212260563,pull,posible_no_fisiologico_salto_o_pico,6,3,4,7.9938,21.4167
212260563,push,posible_muscular_beta_gamma,14,6,3,62.8842,48.6449
212260563,push,salto_brusco_estadistico,13,6,4,4.4124,10.4823
212260563,push,posible_no_fisiologico_salto_o_pico,10,4,2,151.4253,83.1134
212260563,push,posible_ocular_frontal_banda_baja,7,3,2,88.1218,94.585
