original,post_artefactos,sin_nulos,nulos_removidos,no_outliers,outliers_removidos,retencion_%,artefactos_duplicados,artefactos_no_finitos,artefactos_robust_z,artefactos_saltos,artefactos_removidos,artefactos_detectados_no_removidos,sujeto,movimiento,ALERTA
710,710,710,0,503,207,70.8,0,0,212,276,0,325,211260561,all,
307,307,307,0,220,87,71.7,0,0,100,118,0,143,211260561,left,
88,88,88,0,69,19,78.4,0,0,11,15,0,22,211260561,right,
202,202,202,0,137,65,67.8,0,0,44,56,0,79,211260561,push,
113,113,113,0,82,31,72.6,0,0,20,42,0,44,211260561,pull,
164,164,164,0,132,32,80.5,0,0,95,103,0,112,212260563,all,
71,71,71,0,60,11,84.5,0,0,41,43,0,48,212260563,left,
50,50,50,0,40,10,80.0,0,0,26,30,0,32,212260563,right,
5,5,5,0,5,0,100.0,0,0,3,3,0,4,212260563,push,
38,38,38,0,32,6,84.2,0,0,8,9,0,13,212260563,pull,
160,160,160,0,123,37,76.9,0,0,95,97,0,117,212260567,all,
57,57,57,0,47,10,82.5,0,0,28,35,0,36,212260567,left,
6,6,6,0,6,0,100.0,0,0,3,1,0,3,212260567,right,
29,29,29,0,26,3,89.7,0,0,16,13,0,19,212260567,push,
68,68,68,0,54,14,79.4,0,0,24,28,0,35,212260567,pull,
263,263,263,0,199,64,75.7,0,0,112,119,0,150,212260569,all,
109,109,109,0,74,35,67.9,0,0,53,52,0,69,212260569,left,
129,129,129,0,103,26,79.8,0,0,36,53,0,59,212260569,push,
25,25,25,0,24,1,96.0,0,0,6,8,0,10,212260569,pull,
263,263,262,1,199,63,75.7,0,1,151,170,0,188,212260666,all,
16,16,16,0,16,0,100.0,0,0,7,5,0,9,212260666,left,
38,38,38,0,35,3,92.1,0,0,16,16,0,20,212260666,right,
44,44,44,0,33,11,75.0,0,0,26,26,0,31,212260666,push,
165,165,164,1,113,51,68.5,0,1,109,114,0,131,212260666,pull,
227,227,227,0,199,28,87.7,0,0,86,88,0,107,212260668,all,
6,6,6,0,6,0,100.0,0,0,0,2,0,2,212260668,left,
69,69,69,0,63,6,91.3,0,0,5,11,0,13,212260668,right,
79,79,79,0,70,9,88.6,0,0,13,19,0,23,212260668,push,
73,73,73,0,66,7,90.4,0,0,21,27,0,34,212260668,pull,
131,131,131,0,94,37,71.8,0,0,68,58,0,82,212260672,all,
16,16,16,0,15,1,93.8,0,0,7,6,0,8,212260672,left,
36,36,36,0,29,7,80.6,0,0,10,15,0,16,212260672,right,
11,11,11,0,11,0,100.0,0,0,3,4,0,4,212260672,push,
68,68,68,0,53,15,77.9,0,0,23,19,0,32,212260672,pull,
248,248,248,0,171,77,69.0,0,0,137,154,0,170,222260671,all,
31,31,31,0,28,3,90.3,0,0,2,6,0,6,222260671,left,
152,152,152,0,101,51,66.4,0,0,68,89,0,99,222260671,right,
23,23,23,0,21,2,91.3,0,0,10,9,0,11,222260671,push,
42,42,42,0,34,8,81.0,0,0,22,18,0,26,222260671,pull,
1381,1381,1381,0,1292,89,93.6,0,0,799,772,0,941,22260552,all,
240,240,240,0,201,39,83.8,0,0,90,88,0,117,22260552,left,
466,466,466,0,440,26,94.4,0,0,194,207,0,251,22260552,right,
78,78,78,0,72,6,92.3,0,0,23,32,0,41,22260552,push,
597,597,597,0,522,75,87.4,0,0,216,266,0,313,22260552,pull,
1237,1237,1235,2,902,333,72.9,0,2,381,387,0,523,231260558,all,
294,294,293,1,221,72,75.2,0,1,84,91,0,123,231260558,left,
223,223,223,0,152,71,68.2,0,0,15,45,0,51,231260558,right,
189,189,189,0,143,46,75.7,0,0,51,59,0,72,231260558,push,
531,531,530,1,401,129,75.5,0,1,89,130,0,159,231260558,pull,
771,771,770,1,538,232,69.8,0,1,350,392,0,454,252260554,all,
314,314,313,1,225,88,71.7,0,1,102,122,0,150,252260554,left,
89,89,89,0,61,28,68.5,0,0,43,52,0,57,252260554,right,
310,310,310,0,213,97,68.7,0,0,162,170,0,206,252260554,push,
58,58,58,0,40,18,69.0,0,0,29,21,0,40,252260554,pull,
914,914,914,0,839,75,91.8,0,0,211,290,0,356,252260556,all,
335,335,335,0,323,12,96.4,0,0,56,98,0,109,252260556,left,
121,121,121,0,91,30,75.2,0,0,40,33,0,54,252260556,right,
159,159,159,0,119,40,74.8,0,0,21,40,0,48,252260556,push,
299,299,299,0,255,44,85.3,0,0,69,100,0,113,252260556,pull,
190,190,190,0,131,59,68.9,0,0,92,115,0,128,252260670,all,
9,9,9,0,9,0,100.0,0,0,3,4,0,5,252260670,left,
93,93,93,0,70,23,75.3,0,0,39,46,0,54,252260670,right,
68,68,68,0,58,10,85.3,0,0,19,29,0,34,252260670,push,
20,20,20,0,18,2,90.0,0,0,17,8,0,17,252260670,pull,
941,941,941,0,885,56,94.0,0,0,310,404,0,462,cano,all,
106,106,106,0,78,28,73.6,0,0,31,32,0,46,cano,left,
565,565,565,0,515,50,91.2,0,0,192,238,0,267,cano,right,
235,235,235,0,159,76,67.7,0,0,64,75,0,87,cano,push,
35,35,35,0,30,5,85.7,0,0,4,8,0,9,cano,pull,
689,689,689,0,632,57,91.7,0,0,98,217,0,242,villanueva,all,
17,17,17,0,17,0,100.0,0,0,8,7,0,11,villanueva,left,
49,49,49,0,42,7,85.7,0,0,14,16,0,19,villanueva,right,
226,226,226,0,211,15,93.4,0,0,31,55,0,62,villanueva,push,
397,397,397,0,363,34,91.4,0,0,54,125,0,141,villanueva,pull,
