sujeto,movimiento,variante,filas_entrada,filas_eliminadas,filas_salida,retencion_%,clases_detectadas,min_clase,modelable,motivo_no_modelable
211260561,all,sinArtefactosConservador,503,100,403,80.1,left:159 | pull:47 | push:128 | right:69,47,True,
211260561,all,sinArtefactosEstricto,503,209,294,58.4,left:120 | pull:32 | push:84 | right:58,32,True,
211260561,left,sinArtefactosConservador,220,0,220,100.0,left:220,220,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
211260561,left,sinArtefactosEstricto,220,0,220,100.0,left:220,220,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
211260561,pull,sinArtefactosConservador,82,0,82,100.0,pull:82,82,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
211260561,pull,sinArtefactosEstricto,82,0,82,100.0,pull:82,82,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
211260561,push,sinArtefactosConservador,137,0,137,100.0,push:137,137,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
211260561,push,sinArtefactosEstricto,137,0,137,100.0,push:137,137,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
211260561,right,sinArtefactosConservador,69,0,69,100.0,right:69,69,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
211260561,right,sinArtefactosEstricto,69,0,69,100.0,right:69,69,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260563,all,sinArtefactosConservador,132,54,78,59.1,left:37 | pull:8 | right:33,8,False,min_clase < 10
212260563,all,sinArtefactosEstricto,132,86,46,34.8,left:23 | pull:5 | right:18,5,False,min_clase < 10; retencion_% < 50
212260563,left,sinArtefactosConservador,60,0,60,100.0,left:60,60,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260563,left,sinArtefactosEstricto,60,0,60,100.0,left:60,60,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260563,pull,sinArtefactosConservador,32,0,32,100.0,pull:32,32,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260563,pull,sinArtefactosEstricto,32,0,32,100.0,pull:32,32,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260563,push,sinArtefactosConservador,5,0,5,100.0,push:5,5,False,no_se_elimina: dejaria_una_sola_clase; min_clase < 10; una_sola_clase
212260563,push,sinArtefactosEstricto,5,0,5,100.0,push:5,5,False,no_se_elimina: dejaria_una_sola_clase; min_clase < 10; una_sola_clase
212260563,right,sinArtefactosConservador,40,0,40,100.0,right:40,40,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260563,right,sinArtefactosEstricto,40,0,40,100.0,right:40,40,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260567,all,sinArtefactosConservador,123,38,85,69.1,left:26 | pull:39 | push:19 | right:1,1,False,min_clase < 10
212260567,all,sinArtefactosEstricto,123,89,34,27.6,left:13 | pull:20 | push:1,1,False,min_clase < 10; retencion_% < 50
212260567,left,sinArtefactosConservador,47,0,47,100.0,left:47,47,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260567,left,sinArtefactosEstricto,47,0,47,100.0,left:47,47,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260567,pull,sinArtefactosConservador,54,0,54,100.0,pull:54,54,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260567,pull,sinArtefactosEstricto,54,0,54,100.0,pull:54,54,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260567,push,sinArtefactosConservador,26,0,26,100.0,push:26,26,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260567,push,sinArtefactosEstricto,26,0,26,100.0,push:26,26,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260567,right,sinArtefactosConservador,6,0,6,100.0,right:6,6,False,no_se_elimina: dejaria_una_sola_clase; min_clase < 10; una_sola_clase
212260567,right,sinArtefactosEstricto,6,0,6,100.0,right:6,6,False,no_se_elimina: dejaria_una_sola_clase; min_clase < 10; una_sola_clase
212260569,all,sinArtefactosConservador,199,69,130,65.3,left:50 | pull:13 | push:67,13,True,
212260569,all,sinArtefactosEstricto,199,113,86,43.2,left:33 | pull:10 | push:43,10,False,retencion_% < 50
212260569,left,sinArtefactosConservador,74,0,74,100.0,left:74,74,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260569,left,sinArtefactosEstricto,74,0,74,100.0,left:74,74,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260569,pull,sinArtefactosConservador,24,0,24,100.0,pull:24,24,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260569,pull,sinArtefactosEstricto,24,0,24,100.0,pull:24,24,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260569,push,sinArtefactosConservador,103,0,103,100.0,push:103,103,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260569,push,sinArtefactosEstricto,103,0,103,100.0,push:103,103,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260666,all,sinArtefactosConservador,199,76,123,61.8,left:16 | pull:65 | push:12 | right:30,12,True,
212260666,all,sinArtefactosEstricto,199,138,61,30.7,left:11 | pull:26 | push:5 | right:19,5,False,min_clase < 10; retencion_% < 50
212260666,left,sinArtefactosConservador,16,0,16,100.0,left:16,16,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260666,left,sinArtefactosEstricto,16,0,16,100.0,left:16,16,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260666,pull,sinArtefactosConservador,113,0,113,100.0,pull:113,113,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
212260666,pull,sinArtefactosEstricto,113,0,113,100.0,pull:113,113,False,no_se_elimina: dejaria_una_sola_clase; una_sola_clase
