dataset,Clasificador,Accuracy,Kappa,MAE,RMSE,RAE_pct,RRSE_pct,AUC,EXITO,cv,folds,sujeto
211260561_all_noOutliers,NaiveBayes,52.68,0.3515,0.2367,0.4756,70.31,115.92,0.771,no,bloques,4,211260561
211260561_all_noOutliers,SMO_SVM,71.97,0.5766,0.1628,0.3335,48.35,81.29,0.8606,no,bloques,4,211260561
211260561_all_noOutliers,MLP,77.34,0.6597,0.138,0.2946,40.99,71.82,0.9123,SI,bloques,4,211260561
211260561_all_noOutliers,IBk_kNN,67.2,0.5044,0.164,0.405,48.73,98.72,0.7256,no,bloques,4,211260561
211260561_all_noOutliers,RBFNetwork_aprox,71.37,0.555,0.164,0.3226,48.73,78.63,0.8685,no,bloques,4,211260561
211260561_all_noOutliers,J48_C45,53.88,0.3214,0.2306,0.4802,68.51,117.06,0.6329,no,bloques,4,211260561
211260561_all_noOutliers,RandomForest,67.2,0.4831,0.2587,0.3484,76.86,84.93,0.8112,no,bloques,4,211260561
211260561_all_sinArtefactosConservador,NaiveBayes,52.85,0.3416,0.2386,0.4694,68.13,112.16,0.7671,no,bloques,4,211260561
211260561_all_sinArtefactosConservador,SMO_SVM,62.53,0.4667,0.2008,0.3747,57.33,89.54,0.8074,no,bloques,4,211260561
211260561_all_sinArtefactosConservador,MLP,67.74,0.5361,0.1766,0.3498,50.43,83.59,0.8658,no,bloques,4,211260561
211260561_all_sinArtefactosConservador,IBk_kNN,64.52,0.482,0.1774,0.4212,50.65,100.65,0.7212,no,bloques,4,211260561
211260561_all_sinArtefactosConservador,RBFNetwork_aprox,67.25,0.516,0.197,0.3452,56.26,82.49,0.8343,no,bloques,4,211260561
211260561_all_sinArtefactosConservador,J48_C45,49.38,0.2704,0.2531,0.5031,72.26,120.22,0.6171,no,bloques,4,211260561
211260561_all_sinArtefactosConservador,RandomForest,64.52,0.472,0.2801,0.3651,79.96,87.24,0.806,no,bloques,4,211260561
211260561_all_sinArtefactosEstricto,NaiveBayes,57.14,0.4011,0.2202,0.4518,62.82,107.92,0.7392,no,bloques,3,211260561
211260561_all_sinArtefactosEstricto,SMO_SVM,69.05,0.557,0.2004,0.3554,57.16,84.9,0.8083,no,bloques,3,211260561
211260561_all_sinArtefactosEstricto,MLP,68.71,0.5513,0.1812,0.3544,51.69,84.66,0.8486,no,bloques,3,211260561
211260561_all_sinArtefactosEstricto,IBk_kNN,69.05,0.5521,0.1548,0.3934,44.15,93.97,0.7628,no,bloques,3,211260561
211260561_all_sinArtefactosEstricto,RBFNetwork_aprox,68.37,0.5362,0.2102,0.3409,59.96,81.42,0.8237,no,bloques,3,211260561
211260561_all_sinArtefactosEstricto,J48_C45,55.1,0.3675,0.2245,0.4738,64.05,113.18,0.677,no,bloques,3,211260561
211260561_all_sinArtefactosEstricto,RandomForest,65.31,0.4903,0.2802,0.3575,79.93,85.39,0.8371,no,bloques,3,211260561
212260563_all_noOutliers,NaiveBayes,75.76,0.628,0.1217,0.3458,36.95,85.21,0.7642,SI,bloques,3,212260563
212260563_all_noOutliers,SMO_SVM,95.45,0.9308,0.0954,0.1654,28.97,40.77,0.9676,SI,bloques,3,212260563
212260563_all_noOutliers,MLP,94.7,0.9191,0.0408,0.1595,12.39,39.3,0.8036,SI,bloques,3,212260563
212260563_all_noOutliers,IBk_kNN,94.7,0.9194,0.0265,0.1628,8.05,40.13,0.8572,SI,bloques,3,212260563
212260563_all_noOutliers,RBFNetwork_aprox,87.88,0.814,0.112,0.208,34.02,51.26,0.9714,SI,bloques,3,212260563
212260563_all_noOutliers,J48_C45,90.15,0.849,0.0492,0.2219,14.95,54.69,0.8264,SI,bloques,3,212260563
212260563_all_noOutliers,RandomForest,94.7,0.9186,0.0917,0.1752,27.86,43.18,0.9851,SI,bloques,3,212260563
212260567_all_noOutliers,NaiveBayes,69.92,0.539,0.1497,0.3849,47.79,97.25,0.8313,no,bloques,3,212260567
212260567_all_noOutliers,SMO_SVM,94.31,0.9068,0.0704,0.1499,22.49,37.89,0.9157,SI,bloques,3,212260567
212260567_all_noOutliers,MLP,94.31,0.9084,0.0375,0.1489,11.96,37.63,0.9242,SI,bloques,3,212260567
212260567_all_noOutliers,IBk_kNN,95.93,0.934,0.0203,0.1426,6.49,36.02,0.9296,SI,bloques,3,212260567
212260567_all_noOutliers,RBFNetwork_aprox,89.43,0.8293,0.0915,0.1883,29.2,47.57,0.9198,SI,bloques,3,212260567
