sujeto,tipo_prueba,archivo_txt,total_eventos,clases_detectadas,conteo_clases
211260561,leftRight,211260561_LeftRight.txt,2187,left | neutral | right,"{'neutral': 1792, 'left': 307, 'right': 88}"
211260561,pushPull,211260561_pullPush.txt,2202,neutral | pull | push,"{'neutral': 1887, 'push': 202, 'pull': 113}"
212260563,leftRight,212260563_leftRight.txt,912,left | neutral | right,"{'neutral': 788, 'left': 71, 'right': 53}"
212260563,pushPull,212260563_pullPush.txt,954,neutral | pull | push,"{'neutral': 907, 'pull': 38, 'push': 9}"
212260567,leftRight,212260567_leftRight.txt,866,left | neutral | right,"{'neutral': 788, 'left': 72, 'right': 6}"
212260567,pushPull,212260567_pullPush.txt,760,neutral | pull | push,"{'neutral': 663, 'pull': 68, 'push': 29}"
212260569,leftRight,212260569_LeftRight.txt,884,left | neutral,"{'neutral': 775, 'left': 109}"
212260569,pushPull,212260569PushPull.txt,848,neutral | pull | push,"{'neutral': 694, 'push': 129, 'pull': 25}"
212260666,leftRight,212260666_leftRight.txt,941,left | neutral | right,"{'neutral': 887, 'right': 38, 'left': 16}"
212260666,pushPull,212260666_pullPush.txt,851,neutral | pull | push,"{'neutral': 628, 'pull': 179, 'push': 44}"
212260668,leftRight,212260668_leftRight.txt,948,left | neutral | right,"{'neutral': 873, 'right': 69, 'left': 6}"
212260668,pushPull,212260668_pullPush.txt,724,neutral | pull | push,"{'neutral': 569, 'push': 82, 'pull': 73}"
212260672,leftRight,212260672_LeftRigth.txt,688,left | neutral | right,"{'neutral': 636, 'right': 36, 'left': 16}"
212260672,pushPull,212260672_PushPull.txt,672,neutral | pull | push,"{'neutral': 593, 'pull': 68, 'push': 11}"
222260671,leftRight,222260671LeftRigth.txt,825,left | neutral | right,"{'neutral': 642, 'right': 152, 'left': 31}"
222260671,pushPull,222260671PushPull.txt,833,neutral | pull | push,"{'neutral': 768, 'pull': 42, 'push': 23}"
22260552,leftRight,22260552_leftRight.txt,2117,left | neutral | right,"{'neutral': 1408, 'right': 469, 'left': 240}"
22260552,pushPull,22260552_pullPush.txt,2247,neutral | pull | push,"{'neutral': 1572, 'pull': 597, 'push': 78}"
231260558,leftRight,231260558_LeftRight.txt,2092,left | neutral | right,"{'neutral': 1572, 'left': 297, 'right': 223}"
231260558,pushPull,231260558_PulPush.txt,2110,neutral | pull | push,"{'neutral': 1388, 'pull': 533, 'push': 189}"
252260554,leftRight,252260554_leftRight.txt,2277,left | neutral | right,"{'neutral': 1872, 'left': 316, 'right': 89}"
252260554,pushPull,252260554_pullPush.txt,2180,neutral | pull | push,"{'neutral': 1812, 'push': 310, 'pull': 58}"
252260556,leftRight,252260556_leftRight.txt,2908,left | neutral | right,"{'neutral': 2446, 'left': 335, 'right': 127}"
252260556,pushPull,252260556_pullPush.txt,1787,neutral | pull | push,"{'neutral': 1329, 'pull': 299, 'push': 159}"
252260670,leftRight,252260670_LeftRight.txt,1522,left | neutral | right,"{'neutral': 1420, 'right': 93, 'left': 9}"
252260670,pushPull,252260670_PushPull.txt,955,neutral | pull | push,"{'neutral': 867, 'push': 68, 'pull': 20}"
