sujeto,archivo,tipo,filas,ruta
211260561,211260561_all_Outliers.csv,all_Outliers,4394,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/211260561/211260561_all_Outliers.csv
211260561,211260561_Left_matchResults.csv,Left_matchResults,307,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/211260561/211260561_Left_matchResults.csv
211260561,211260561_Right_matchResults.csv,Right_matchResults,88,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/211260561/211260561_Right_matchResults.csv
211260561,211260561_Push_matchResults.csv,Push_matchResults,202,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/211260561/211260561_Push_matchResults.csv
211260561,211260561_Pull_matchResults.csv,Pull_matchResults,113,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/211260561/211260561_Pull_matchResults.csv
212260563,212260563_all_Outliers.csv,all_Outliers,1844,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/212260563/212260563_all_Outliers.csv
212260563,212260563_Left_matchResults.csv,Left_matchResults,71,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/212260563/212260563_Left_matchResults.csv
212260563,212260563_Right_matchResults.csv,Right_matchResults,50,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/212260563/212260563_Right_matchResults.csv
212260563,212260563_Push_matchResults.csv,Push_matchResults,5,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/212260563/212260563_Push_matchResults.csv
212260563,212260563_Pull_matchResults.csv,Pull_matchResults,38,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/212260563/212260563_Pull_matchResults.csv
212260567,212260567_all_Outliers.csv,all_Outliers,1615,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/212260567/212260567_all_Outliers.csv
212260567,212260567_Left_matchResults.csv,Left_matchResults,57,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/212260567/212260567_Left_matchResults.csv
212260567,212260567_Right_matchResults.csv,Right_matchResults,6,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/212260567/212260567_Right_matchResults.csv
212260567,212260567_Push_matchResults.csv,Push_matchResults,29,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/212260567/212260567_Push_matchResults.csv
