variante,tipo_figura,modelable,graficable,diagnostica,figuras
cleanSmooth,resumen,True,True,False,15
cleanSmooth,scroll,True,True,False,15
cleanSmooth,spectral,True,True,False,15
cleanSmooth,topomap,True,True,False,75
noOutliers,resumen,True,True,False,15
noOutliers,scroll,True,True,False,15
noOutliers,spectral,True,True,False,15
noOutliers,topomap,True,True,False,75
sinArtefactosConservador,resumen,False,True,True,8
sinArtefactosConservador,resumen,True,True,False,7
sinArtefactosConservador,scroll,False,True,True,8
sinArtefactosConservador,scroll,True,True,False,7
sinArtefactosConservador,spectral,False,True,True,8
sinArtefactosConservador,spectral,True,True,False,7
sinArtefactosConservador,topomap,False,True,True,40
sinArtefactosConservador,topomap,True,True,False,35
sinArtefactosEstricto,resumen,False,True,True,13
sinArtefactosEstricto,resumen,True,True,False,2
sinArtefactosEstricto,scroll,False,True,True,13
sinArtefactosEstricto,scroll,True,True,False,2
sinArtefactosEstricto,spectral,False,True,True,13
sinArtefactosEstricto,spectral,True,True,False,2
sinArtefactosEstricto,topomap,False,True,True,65
sinArtefactosEstricto,topomap,True,True,False,10
