sujeto,repeticion,tipo_prueba,csv,txt,origen,filas,filas_con_class,filas_sin_class,clases,archivo_salida,estado,error
211260561,unica,leftRight,211260561_LeftRight.csv,211260561_LeftRight.txt,csv_txt,2186,2186,0,"{'neutral': 1791, 'left': 307, 'right': 88}",211260561_LeftRight_All_Outliers.csv,OK,
211260561,unica,pushPull,211260561_pullPush.csv,211260561_pullPush.txt,csv_txt,2208,2208,0,"{'neutral': 1893, 'push': 202, 'pull': 113}",211260561_pullPush_All_Outliers.csv,OK,
212260563,unica,leftRight,212260563_leftRight.csv,212260563_leftRight.txt,csv_txt,897,897,0,"{'neutral': 776, 'left': 71, 'right': 50}",212260563_leftRight_All_Outliers.csv,OK,
212260563,unica,pushPull,212260563_pullPush.csv,212260563_pullPush.txt,csv_txt,947,947,0,"{'neutral': 904, 'pull': 38, 'push': 5}",212260563_pullPush_All_Outliers.csv,OK,
212260567,unica,leftRight,212260567_leftRight.csv,212260567_leftRight.txt,csv_txt,848,848,0,"{'neutral': 785, 'left': 57, 'right': 6}",212260567_leftRight_All_Outliers.csv,OK,
212260567,unica,pushPull,212260567_pullPush.csv,212260567_pullPush.txt,csv_txt,767,767,0,"{'neutral': 670, 'pull': 68, 'push': 29}",212260567_pullPush_All_Outliers.csv,OK,
212260569,unica,leftRight,212260569_LeftRight.csv,212260569_LeftRight.txt,csv_txt,877,877,0,"{'neutral': 768, 'left': 109}",212260569_LeftRight_All_Outliers.csv,OK,
212260569,unica,pushPull,212260569PushPull.csv,212260569PushPull.txt,csv_txt,844,844,0,"{'neutral': 690, 'push': 129, 'pull': 25}",212260569PushPull_All_Outliers.csv,OK,
212260666,unica,leftRight,212260666_leftRight.csv,212260666_leftRight.txt,csv_txt,930,930,0,"{'neutral': 876, 'right': 38, 'left': 16}",212260666_leftRight_All_Outliers.csv,OK,
212260666,unica,pushPull,212260666_pullPush.csv,212260666_pullPush.txt,csv_txt,847,847,0,"{'neutral': 638, 'pull': 165, 'push': 44}",212260666_pullPush_All_Outliers.csv,OK,
212260668,unica,leftRight,212260668_leftRight.csv,212260668_leftRight.txt,csv_txt,922,922,0,"{'neutral': 847, 'right': 69, 'left': 6}",212260668_leftRight_All_Outliers.csv,OK,
212260668,unica,pushPull,212260668_pullPush.csv,212260668_pullPush.txt,csv_txt,708,708,0,"{'neutral': 556, 'push': 79, 'pull': 73}",212260668_pullPush_All_Outliers.csv,OK,
212260672,unica,leftRight,212260672_LeftRigth.csv,212260672_LeftRigth.txt,csv_txt,679,679,0,"{'neutral': 627, 'right': 36, 'left': 16}",212260672_LeftRigth_All_Outliers.csv,OK,
212260672,unica,pushPull,212260672_PushPull.csv,212260672_PushPull.txt,csv_txt,664,664,0,"{'neutral': 585, 'pull': 68, 'push': 11}",212260672_PushPull_All_Outliers.csv,OK,
222260671,unica,leftRight,222260671LeftRigth.csv,222260671LeftRigth.txt,csv_txt,810,810,0,"{'neutral': 627, 'right': 152, 'left': 31}",222260671LeftRigth_All_Outliers.csv,OK,
222260671,unica,pushPull,222260671PushPull.csv,222260671PushPull.txt,csv_txt,814,814,0,"{'neutral': 749, 'pull': 42, 'push': 23}",222260671PushPull_All_Outliers.csv,OK,
